GABEL,GH,NABEL,NH,e1,e2
6.232569891,47.68,30.79078633,257.599,,
4.309146861,34.85,106.2602349,119.231,,
5.819198112,34.73,66.87851049,236.92,,
5.083863949,30.56,58.06187876,119.517,,
5.977854878,51.09,51.97103578,133.46,,
6.80827964,36.12,67.83062279,189.581,,
5.148371006,39.65,86.75895939,190.81,,
3.767984609,44.78,71.66501084,138.97,,
5.096533636,35.17,66.51785494,138.22,,
4.724735174,32.65,67.82768992,126.75,,
2.764315483,56.84,87.39480823,175.859,,
4.871455912,22.64,69.16196243,149.002,,
4.34229875,25.37,133.7942861,358.029,,
3.478605689,31.95,103.0680684,267.04,,
3.614763456,26.81,117.318013,220.268,,
4.558589831,32.26,65.59395745,202.971,,
5.266801899,54.59,69.14903665,219.01,,
3.916628794,33.04,31.63385541,278.59,,
2.009654705,33.62,35.77356042,285.688,,
5.1027264,44.89,51.68531852,521.33,,
3.7686143,30.7,51.84738772,293.181,,
9.584842863,92.45,121.6376746,193.218,,
4.339724339,37.29,125.7720038,239.336,,
4.323617822,32.98,198.2603585,238.47,,
2.356527804,31.05,93.42444628,262.18,,
3.865910924,17.51,118.0754568,271.441,,
3.322435661,37.08,163.7417245,200.79,,
3.9933978,28.6,41.1228663,504.601,,
4.242034868,43.81,45.27924619,678.08,,
5.811381574,44.68,55.61817538,629.171,,
7.413778308,65.15,46.13978433,612.89,,
5.036450299,35.46,79.64435159,833.47,,
6.201274648,43.03,320.2309952,575.451,,
6.025348883,41.01,81.3064468,211.631,,
3.633642355,30.24,69.71913258,365.311,,
4.630995718,30.39,92.87994034,228.231,,
5.067270196,35.64,96.17859207,767.58,,
6.43554045,33.13,64.62715669,216.69,,
6.89513336,20.02,99.8206868,663.24,,
4.753150786,24.85,105.9680383,322.261,,
3.739461172,35.49,113.5772213,259.19,,
4.782747339,27.95,95.97462958,326.91,,
5.771281999,50.81,34.573983,71.9101,,
4.312887052,54.57,84.84380227,313.16,,
5.435281029,36.9,72.1060343,131.87,,
10.98568687,49.96,72.32009302,281.52,,
3.739246127,36.01,335.1450252,196.379,,
6.226355845,41.86,64.3765273,254.701,,
12.5598799,92.91,156.4459032,249.21,,
3.850166418,37.29,56.44683932,171.49,,
5.001954002,60.79,23.51699886,40.0595,,
3.498557581,46.55,66.81994754,140.88,,
4.856645659,33.94,57.6886071,233.7,,
13.87392528,38.12,49.74370528,661.19,,
3.859788637,33.4,44.50302664,313.21,,
5.059781259,44.04,68.76866044,304.79,,
5.585069932,33.94,146.7196774,323.191,,
6.020594073,42.35,60.94541266,170.73,,
5.330537533,50.72,50.72913152,604.49,,
3.509901004,34.53,46.8046008,520.17,,
4.984563706,47.61,52.29316269,598.63,,
4.227940992,35.95,60.11389882,648.13,,
4.887107125,35.6,46.8846016,573.71,,
2.155341446,37.38,71.3412486,81.6547,,
3.612167697,30.63,36.56933993,196.018,,
4.8190428,25.01,35.30994676,193.31,,
3.498432266,39.41,49.35740177,619.67,,
5.145291866,22.17,41.11616776,537.56,,
4.268669043,24.27,61.13182935,752.39,,
