Surface,Volume,Soma_Surface,N_stems,N_bifs,N_branch,Width,Depth,Diameter,PathDistance,Branch_Order,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Fractal_Dim,Bif_ampl_remote,Length,Height,EucDistance,Class
2020.46,481.046,733.368,10,102,214,37.53,18,0.642221,119.673,23,0.811813,1220,0.59228,2.37925,101.69,1.15177,98.5072,968.499,77.08,50.8234,Glia
1642.42,340.508,752.013,12,86,184,33.61,22.5,0.550183,106.345,14,0.815925,1209,0.605798,2.19737,102.237,1.14392,109.056,906.975,58.32,37.1608,Glia
1877.52,431.726,755.299,9,103,215,39.53,16,0.635366,77.8552,18,0.825614,1148,0.599615,2.36982,105.993,1.14324,106.153,890.019,57.67,38.146,Glia
1165.86,260.222,725.487,8,68,144,39.55,15.5,0.587856,116.282,17,0.84768,681,0.748284,2.27252,113.467,1.13362,110.244,577.213,42.58,33.5219,Glia
1519.92,356.019,705.933,10,79,168,25.14,20.03,0.618415,88.3371,14,0.826047,839,0.578975,2.43723,104.455,1.15069,101.445,745.434,58.76,36.9348,Glia
1255.53,316.447,360.911,3,84,171,30.08,12,0.627407,76.4466,13,0.839553,779,0.597891,2.59093,102.098,1.1479,95.2507,609.925,48.91,39.9638,Glia
725.45,162.073,181.184,3,51,105,18.02,9,0.624416,71.2951,14,0.803839,437,0.530762,2.69832,94.154,1.16835,94.3604,357.931,33.18,29.5503,Glia
1647.51,415.582,296.322,7,100,207,29.06,9.5,0.643054,135.196,25,0.80822,930,0.657687,2.24336,105.172,1.17116,106.424,755.731,58.62,45.3554,Glia
1356.39,217.846,1148.73,9,91,191,41.5,16.51,0.5153,81.7901,16,0.817484,1000,0.620855,2.32506,106.888,1.1537,107.562,822.182,54.75,39.2,Glia
1909.38,421.203,476.323,5,110,225,30.8,14,0.623499,121.078,29,0.808992,1126,0.612724,2.4764,102.168,1.15601,105.501,916.864,51.89,34.6904,Glia
1330.31,258.066,432.174,7,88,183,34.59,13.5,0.568313,107.459,24,0.822732,901,0.640157,2.62744,106.04,1.16093,102.036,718.235,47.85,37.4755,Glia
1501.76,282.674,258.778,3,104,211,33.84,14.5,0.544845,90.1492,18,0.810457,1100,0.520444,2.56326,99.2285,1.16167,100.155,843.481,47.29,43.7704,Glia
1572.11,341.169,661.374,8,85,178,34.14,16,0.589749,115.045,17,0.823984,918,0.624129,2.63967,99.0342,1.14459,99.5742,812.372,42.74,28.2886,Glia
755.456,171.051,323.398,6,45,96,20.18,14,0.608463,71.295,13,0.85042,462,0.560457,2.71527,105.388,1.15142,103.803,394.017,45.53,42.2267,Glia
1110.38,242.347,198.687,3,70,143,30.41,10,0.570864,73.0819,12,0.794963,764,0.631947,3.2301,95.5234,1.15961,98.1925,597.226,47.58,31.8401,Glia
736.448,128.296,479.231,6,50,106,28.41,9.37,0.488133,67.1139,11,0.802495,600,0.558052,2.1042,111.911,1.16925,113.043,463.595,47.6,34.0622,Glia
1736.75,448.17,431.911,7,106,219,31.23,12,0.666514,97.7308,22,0.838957,958,0.617626,2.97573,97.9565,1.15654,97.8912,791.354,50.7,31.2388,Glia
1093.42,198.729,279.267,6,76,158,25.58,8.5,0.531133,98.2602,13,0.82884,856,0.61269,2.5039,100.161,1.15219,105.842,649.131,58.31,33.7946,Glia
1984.26,550.245,393.338,5,97,199,36.75,10,0.696077,78.7207,16,0.811664,1012,0.60031,2.7047,101.837,1.15775,101.044,842.034,43.96,33.1057,Glia
571.518,86.1811,305.663,6,35,76,30.04,9,0.477898,48.2661,9,0.791186,471,0.712381,1.88025,105.993,1.17259,97.3406,365.695,33.97,24.2951,Glia
564.684,77.9169,394.05,8,38,84,26.86,8,0.45371,47.6155,7,0.820706,479,0.644236,2.11342,98.2769,1.14139,112.869,375.913,38.85,22.4417,Glia
772.024,124.244,299.263,6,53,112,22.82,10,0.514023,74.9016,15,0.79405,619,0.645969,2.16747,100.803,1.18857,100.375,468.685,41.34,24.9963,Glia
1110.22,244.492,512.177,7,53,113,21.9,14.45,0.598397,86.5537,10,0.803405,662,0.568263,2.7187,108.605,1.14733,97.6703,554.13,54.16,34.8779,Glia
1392.74,240.505,318.979,6,98,202,23.37,12.5,0.49692,130.366,32,0.822644,1099,0.640514,2.33861,102.977,1.14509,101.425,862.052,43.84,34.0717,Glia
1323.48,269.825,411.245,8,97,202,23.99,14.5,0.561854,95.262,22,0.831424,852,0.583229,2.15267,99.9097,1.15909,102.522,708.166,40.95,30.7807,Glia
1142.65,170.096,505.23,9,78,165,24.33,11.5,0.456558,107.923,14,0.788422,1012,0.565626,2.92155,102.76,1.16709,99.1122,783.279,40.5,35.6306,Glia
864.975,200.762,404.685,8,40,88,16.2,11,0.633967,49.7356,11,0.815179,489,0.572855,2.44448,108.755,1.15043,98.1894,411.258,34.03,22.8149,Glia
430.625,26.914,193.991,5,55,115,83.92,29,0.25,61.3649,10,0.918791,291,0.554686,2,87.6999,1.0587,83.8965,548.288,35.65,49.6735,Glia
302.159,18.8849,161.512,4,36,76,47.12,24,0.25,54.7487,8,0.920319,198,0.53582,2,85.7498,1.06399,81.502,384.72,26.09,37.9603,Glia
393.796,24.6122,240.969,5,47,99,57.21,32,0.25,57.4092,8,0.907268,302,0.655675,2,91.8554,1.06542,90.3178,501.397,29.98,39.0462,Glia
