PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,Class
-0.946137007,-1.660241347,-0.132554179,0.528765735,-0.64599235,1.082505785,-0.044372652,-0.044837679,0.344180596,-0.093848041,0.166047844,Glia
-1.432598305,0.01696361,-0.168250567,0.95443485,0.069383968,0.405567568,0.06384106,0.03051034,-0.151266698,-0.473157956,0.202776341,Glia
-0.387670227,1.540639631,0.292974468,-1.578372245,-0.39944625,-0.525365433,0.029609917,-1.024381386,0.504787203,0.368637874,0.824013215,Neuron
-0.661740804,1.233264603,-0.909461902,1.157751654,0.376636122,-0.191716898,-0.134428933,-1.742056273,-0.527132339,-4.76E-04,2.410247433,Neuron
2.383853075,0.307206672,3.15E-04,-2.309308732,1.888090414,-1.242689111,0.251714152,-1.367661074,-0.521007122,-1.451074526,-0.856597292,Neuron
0.37880369,-4.492290162,1.142961119,0.362850658,0.835912998,0.350403078,-0.369254084,0.372389314,0.051433265,0.916977994,0.403759304,Glia
0.070358713,1.815149826,1.642005358,-1.302627497,-0.644831217,0.261832515,0.153360091,-0.466605803,0.308341994,-0.070504668,0.719119364,Neuron
11.27437643,2.172753484,-1.049645363,1.157774954,0.114767267,0.487960605,-0.252075774,1.205820796,0.917459783,0.553734395,0.354394264,Neuron
-1.038484305,-1.572009302,-1.243278307,1.507776295,-1.548085702,0.758672516,-0.099043113,-0.57801933,-0.274349457,-0.112124528,-0.037397992,Glia
0.263892759,0.858445383,-0.253481731,-1.198473773,-1.93306826,-0.161894336,-0.013243289,0.316132645,-0.636309973,-0.443490518,0.631003057,Neuron
-1.55157217,0.954714421,0.20815197,0.235271982,1.314117363,-0.977419258,0.002207393,-0.180327424,0.35924929,0.430231104,-0.574888463,Glia
-0.41708297,1.677175931,0.270119079,1.350297355,0.713894786,-1.492741663,0.278623921,-0.086153367,-0.452794619,0.979975473,-1.186311601,Neuron
1.841440748,0.559870299,-0.437443084,-1.372071493,1.350088875,1.006072732,0.402500652,0.334709347,-0.845314145,-0.454511209,-0.280077922,Neuron
1.00178595,0.653008506,-0.750045529,-0.936396771,1.04978787,0.534207163,0.232511366,-0.471568568,-0.065099548,0.221406986,0.1488851,Neuron
0.376929216,0.659233849,0.385046004,-1.267422927,0.016773826,0.547252212,0.274161732,0.585802542,0.047945496,-0.217609045,0.029222274,Neuron
-1.700123766,0.683118809,-0.107089668,-0.90514892,1.458718006,-0.794359015,0.239963855,0.291129128,0.958996746,0.391979611,-0.613701335,Glia
-0.513980311,1.284628158,1.721759419,-1.065354002,-0.936595737,-0.262709273,-0.184167911,-0.06077991,0.256678099,-0.012514517,0.212448006,Neuron
0.557077074,-0.704612842,-0.883936245,-0.167571643,-0.856985566,0.866046956,-0.474759497,0.205965402,-0.26105298,-0.100446917,0.463780931,Neuron
-1.207671261,1.537925107,0.907998581,0.043123206,0.191394808,-0.738851088,-0.131834456,0.158595433,-0.147983065,-0.02483257,0.024756243,Neuron
-0.599037516,-2.740877043,-1.518906956,0.461391878,-1.346444281,-0.683790515,-0.192456975,-0.884135853,-0.364721677,0.055184013,0.382696399,Glia
-1.243668646,-0.169714138,0.941724823,8.85E-04,0.388106253,0.517930782,-0.33672629,0.72526397,0.286106273,-0.238409689,-0.016489023,Glia
-1.57638519,1.339155187,1.324995441,-1.138376748,-0.150185331,-0.556431007,1.533290047,0.416300302,0.294751293,-0.5383671,1.641908519,Glia
